id,name,shares,likes,loves,wow,cares,sad,angry,haha,reactions_count,comments,content,posted_on,video,image,post_url
pfbid0g7Zd5r4qXxuTtGi2bGicVdRMws1uqBD9orjH5a3X3cwtspjrTavdMt8V1W389WEdl,DSTA Defence Science and Technology Agency,0,2,0,0,0,0,0,0,2,0,"We couldn’t have done it without our partners from MINDEF, the SAF, industry and more. Thrilled to be on this exciting journey with this awesome community #DSTA #DefenceScienceAndTechnologyAgency #StrategyInAction #TechLife #Collaboration #Technology",2023-05-30T15:19:22.951508,[],https://external.fsin14-2.fna.fbcdn.net/emg1/v/t13/17702512775966416210?url=https%3A%2F%2Fsbr.com.sg%2Fsites%2Fdefault%2Ffiles%2Fstyles%2Fopengraph%2Fpublic%2F2023-05%2Fdefence-science-and-technology-agency-dsta.jpg%3Fh%3D32005159%26itok%3D5_x5Llfd&fb_obo=1&utld=com.sg&stp=c0.5000x0.5000f_dst-jpg_flffffff_p500x261_q75&ccb=13-1&oh=06_AbE1ownRCGsoAYAS3VVJzpqnI-heCI72HsYr0yhFyESJag&oe=6476FC04&_nc_sid=ca20c4,https://www.facebook.com/SingaporeDSTA/posts/pfbid0g7Zd5r4qXxuTtGi2bGicVdRMws1uqBD9orjH5a3X3cwtspjrTavdMt8V1W389WEdl?__cft__[0]=AZW6BiEzN9UYVNkis2DpV1ERKJWtedQWuojhtBwzgvCSA8IJUSMkwxHY3JXNX43a2v5PhstsbbCjWsT0Du2Y-QLHXu0sol4Z6NIE9XFkWp-cvJTN88BwQeYI_McD4SeBSJPYrZyuTvHrkbBaWQSxsvGgGa9iQopBGj4ICj6fn2cju3J7Z0NQ3tFYVFK1vjtH-IX5M51lWkGAlHmLEH-znFbm&__tn__=%2CO%2CP-R
pfbid02e9L1CdiR2aH76Swik8ULWh59Pkb5DBF1v7RigqNuQpjEywWnfk7ZALcGT2nuwLyXl,DSTA Defence Science and Technology Agency,0,19,0,0,0,0,0,0,19,0,"Just like enhancing fighter aircraft capabilities, Yu Xuan plans every swing, anticipating her opponents' moves, to stay on top of her  game. We're thrilled to help unlock  your potential to serve up success at the upcoming BrainHack!#BrainHack #BrainHack2023 #DSTA#STEMsg #StrategylnAction #SpaceTechnology #Space""",2023-05-29T18:39:31.438610,['blob:https://www.facebook.com/410000c1-b46f-491a-a59e-b932bf813a3f'],,https://www.facebook.com/SingaporeDSTA/posts/pfbid02e9L1CdiR2aH76Swik8ULWh59Pkb5DBF1v7RigqNuQpjEywWnfk7ZALcGT2nuwLyXl?__cft__[0]=AZUsEh3qm5u5AvQgNGtsZngC2O3OICX_OObW0JKGqKw9I7ainJZjU5_klhZmmvOj1eBazNHpZZ6P3hodJWG-Slp0O0lGo6l1b11BeUMXIEBE-SLl1mQdStFXItxjFfA5NoLhODMdD6TgXv2l4i0bZCPb56rrRLqPsk64q7qbDUmQnMabzfz2LlPML5SXurr1_-U&__tn__=%2CO%2CP-R
pfbid025JNnwVsbUcxZNkoPzBvZ7e77e4hshunBsuCDg2WG8eiGqhtxYuC6EZawiuN6wVEal,DSTA Defence Science and Technology Agency,0,10,0,0,0,0,0,0,10,0,Hey detectives! Combating misinformation can be easier if you know what to look out for. Stay vigilant with this useful tip!#BrainHack #BrainHack2023 #DSTA #STEMsg #StrategylnAction #FakeNewsDetection #Misinformation,2023-05-26T15:39:31.623321,['blob:https://www.facebook.com/a46111e2-6aa4-4146-a806-231639719546'],,https://www.facebook.com/SingaporeDSTA/posts/pfbid025JNnwVsbUcxZNkoPzBvZ7e77e4hshunBsuCDg2WG8eiGqhtxYuC6EZawiuN6wVEal?__cft__[0]=AZWFfrYdp_ahnCxzkBneFB_F4xKnjFMCAFrhVw7J56tfrWEhcnarx7vlsHPBRREFGgqRpnt-e1dYZYKc0DH6LcGLh4_7AbjlvSjL6m_ri-gcquCywhIkXmGYSPrKy-avCL1JFESoMXNn9QpXnF1cdtZcUeXcC6G3k-3vSv11bkDmjsIPTDV-z4sXYlmKk4j_eMw&__tn__=%2CO%2CP-R
pfbid0HZSjrHrMXD7XtoWu2WjpqJ6fGWUtf2eMN6KXZb75ZBYYSwjyhpEjJ4VMzr9pyzzml,DSTA Defence Science and Technology Agency,0,70,0,0,0,0,0,0,70,0,"Kudos to our team for clinching the OpenGov Recognition of Excellence Award 2023!Our engineers partnered The Singapore Army, ST Engineering and NCS Group to develop the Next Generation Army Command and Control Information system, which automates tedious processes during battle planning. Tapping cloud tech and secure communications, the system also allows the exchange of information across forces in a timely manner #DSTA #DefenceScienceAndTechnologyAgency #Collaboration #Engineering #Technology #StrategyInAction",2023-05-25T15:39:32.057518,[],https://scontent.fsin14-1.fna.fbcdn.net/v/t39.30808-6/348903346_559419049682539_9101580499917485016_n.jpg?stp=cp6_dst-jpg_p526x296&_nc_cat=103&ccb=1-7&_nc_sid=8bfeb9&_nc_ohc=CRRpA55Xsb8AX-0hBi0&_nc_ht=scontent.fsin14-1.fna&oh=00_AfDA1l5OIAzNuEJX9JCBZ_gpf5XszYEMtd4l6PKvMqRahw&oe=647B53C3,https://www.facebook.com/SingaporeDSTA/posts/pfbid0HZSjrHrMXD7XtoWu2WjpqJ6fGWUtf2eMN6KXZb75ZBYYSwjyhpEjJ4VMzr9pyzzml?__cft__[0]=AZWG2ZLqtjDKz4xmcf-ufv5wY4oqNLprPgShVvNxFbqX3l0ZriGxCbYC_7wgDJM7pgcGpVnqVS5Y2XRZIGXtrn7XMjAwSetIFRKlLsbEyWWFyAfSpVAeioN5LC2GHEqWbPsagI-a2ciX3uJsHVprNc7Z4Xi6ADNDvNQglxVhDDVK8ruo2BmxYr3cYqv0mgMB_os&__tn__=%2CO%2CP-R
pfbid02ypgatiT3R9cNXv4wxXpwUW85bvYvTpBUE1VkESWZUuoSkqURWSvbbF6iRdnmFXVVl,DSTA Defence Science and Technology Agency,0,21,0,0,0,0,0,0,21,0,"Meet Ann, an Al engineer  and contact rugby player She proves that teamwork and strategic thinking are not just for sports, but also crucial for developing Al models.We can't wait to see what game-changing ideas your team will bring to train your robot with AI at the upcoming #BrainHack!#BrainHack2023 #DSTA#STEMsg #StrategylnAction #AI#Artificialintelligence #BACBearsRugby",2023-05-22T17:58:00,['blob:https://www.facebook.com/d0a1ea43-02a6-4133-b801-1b85f64ffc9a'],https://scontent.fsin14-2.fna.fbcdn.net/v/t15.5256-10/347717623_230117049745919_5088728625113212564_n.jpg?stp=dst-jpg_s960x960&_nc_cat=100&ccb=1-7&_nc_sid=ad6a45&_nc_ohc=RADtTFq_Wa8AX-WTrPV&_nc_ht=scontent.fsin14-2.fna&oh=00_AfD4SfDBi9Eg6TmFmTo1WNpvmjM8WVIuuVceNp0gcGcFeQ&oe=64799FCD,https://www.facebook.com/SingaporeDSTA/posts/pfbid02ypgatiT3R9cNXv4wxXpwUW85bvYvTpBUE1VkESWZUuoSkqURWSvbbF6iRdnmFXVVl?__cft__[0]=AZVcoGKxI-0eF-w0vfVyAttUuplYjMJdd--tgZkcvQaHmYVgtVwaIaBwHp1KYqaCUBsVheIfiTKX_YFzuHxZyfHo7iERc8Au73zTAatvlFdQtQdLrXCSottwZ7yXgmIPjE7wojmy7HJCjKZ677jEPWuVcXDic8QdRfLrUhwua8nskJRkST7Fix4XhivZkhlgh0E&__tn__=%2CO%2CP-R
pfbid02grGCrddTFe9tHnuK9ittBHf5NSW6D8AUNyfZkSiXJ8Qsf7d9nNSY8d63PSKn4zDSl,DSTA Defence Science and Technology Agency,0,9,0,0,0,0,0,0,9,0,Hey there cyber knights! Ready to conquer cyber challenges and keep our cyberspace safe? Here's a hint to help you on your quest!#BrainHack #BrainHack2023 #DSTA#STEMsg #StrategylnAction #Cybersecurity#CTF #CaptureTheFlag,2023-05-18T17:59:00,['blob:https://www.facebook.com/4f0a8b88-c397-4654-9285-672b85294e93'],https://scontent.fsin14-1.fna.fbcdn.net/v/t15.5256-10/344339394_771018527810948_5572871002863906817_n.jpg?stp=dst-jpg_p960x960&_nc_cat=101&ccb=1-7&_nc_sid=ad6a45&_nc_ohc=75ynQVLJlJcAX-VerBc&_nc_ht=scontent.fsin14-1.fna&oh=00_AfAg80TCKHRfPNjrN42FK9tT2txxc6z58wPw3YsOWOhs8A&oe=647A96F6,https://www.facebook.com/SingaporeDSTA/posts/pfbid02grGCrddTFe9tHnuK9ittBHf5NSW6D8AUNyfZkSiXJ8Qsf7d9nNSY8d63PSKn4zDSl?__cft__[0]=AZXJidb5nztsaA9A1HTvJPmEmqx0HUwmym9FPKrplEwwmE9ntOj6gKh2JLz7PEblI7syFP6HW8iE3qcd65ifQEHSqLv3S05TbpQ4jfFbOfeAzGkgnpovwVuiKvGxoBKgO3jgre-wvaMnGpbAOhBFUGPIToxcqtO_11zTCPgYtunE8NIIkdtmTWz7dDbVPshpoFw&__tn__=%2CO%2CP-R
pfbid034UKfbsFViw21bPVob1CVAWXx9bHSbPJUdr1wNsCz7WpvDXvZGC9JBdSERyb45HEJl,DSTA Defence Science and Technology Agency,0,12,0,0,0,0,0,0,12,0,"Autobots, roll out Jerome’s internship is one that’s straight out of a sci-fi movie! He not only got to tinker with various tech, he also got to work on autonomous robots for Singapore’s defence.You, too, can set out on such an exciting journey! Apply for the DSTA Polytechnic Scholarship: go.gov.sg/dstapolydigitalscholarship go.gov.sg/dstapolyengscholarship#DSTA #DefenceScienceAndTechnologyAgency #STEMsg #Education #Scholarship",2023-05-17T17:59:00,[],https://scontent.fsin14-2.fna.fbcdn.net/v/t39.30808-6/347436775_255578010467053_6604460697442028236_n.jpg?stp=dst-jpg_p600x600&_nc_cat=111&ccb=1-7&_nc_sid=8bfeb9&_nc_ohc=hSeTAFKoqJYAX88b-Xf&_nc_ht=scontent.fsin14-2.fna&oh=00_AfDlD17Dxf1_i6CPFepGBUL5b4X53iqcqz-eJXHOXI7hJw&oe=6479EBE2 https://scontent.fsin14-1.fna.fbcdn.net/v/t39.30808-6/347430830_1761158800967114_3099507345086475990_n.jpg?stp=dst-jpg_p600x600&_nc_cat=110&ccb=1-7&_nc_sid=8bfeb9&_nc_ohc=Aw677xg961gAX_-lxYW&_nc_ht=scontent.fsin14-1.fna&oh=00_AfBWYxMQr0jB7zu83EktRIN6VcS8xidAZARVF_faRUaSAA&oe=647B1A5C https://scontent.fsin14-1.fna.fbcdn.net/v/t39.30808-6/347612021_1609419156224426_1321506901389836144_n.jpg?stp=dst-jpg_p600x600&_nc_cat=109&ccb=1-7&_nc_sid=8bfeb9&_nc_ohc=XnuBTkzmOWIAX_rhwmE&_nc_ht=scontent.fsin14-1.fna&oh=00_AfAb8WPubHU7RdvuRbg_G3Dg54zyQ6xuHTSFhNfrt8dT8A&oe=647A064B https://scontent.fsin14-1.fna.fbcdn.net/v/t39.30808-6/346074265_933426984403171_633570989741629282_n.jpg?stp=dst-jpg_p600x600&_nc_cat=105&ccb=1-7&_nc_sid=8bfeb9&_nc_ohc=D_qkzVHLoBMAX9uSuL9&_nc_ht=scontent.fsin14-1.fna&oh=00_AfB9cWqwnLktkP-x2k4rcxe5NzBlWawC7HpJgQ74mCucaA&oe=647B8069,https://www.facebook.com/SingaporeDSTA/posts/pfbid034UKfbsFViw21bPVob1CVAWXx9bHSbPJUdr1wNsCz7WpvDXvZGC9JBdSERyb45HEJl?__cft__[0]=AZWQsGMAO94yhpD8dA4BDrt3byBJ7Izd48YW6anFr9t3Slp6ieKKV-Ea4a47cVeJfs0vHhgOqia8qVFfeRg4O7wQApxRl5whI-I65M7T6jxIm4MpNMCxLuBN4aJU__m51NT9ZLvlyY7BuCyNj5ljQv6xfP81H7BvoypJNeDWhJ2QYarG60fXSCCL2BStRZa8wYs&__tn__=%2CO%2CP-R
pfbid0Y8d1NjkCB11bzgPM2WpqGaUB4qtcghjNLLi9bY3CRjUcxnxbrcjdHVUJEmPoTVpbl,DSTA Defence Science and Technology Agency,0,22,0,0,0,0,0,0,22,0,Twinning Tuesdays: Colleagues-turned-friends at the #DSTA office.#DefenceScienceandTechnologyAgency #WesAnderson,2023-05-16T18:00:00,['blob:https://www.facebook.com/f3975256-b2e8-4987-b485-9db7351fe367'],,https://www.facebook.com/SingaporeDSTA/posts/pfbid0Y8d1NjkCB11bzgPM2WpqGaUB4qtcghjNLLi9bY3CRjUcxnxbrcjdHVUJEmPoTVpbl?__cft__[0]=AZW0wN79vv_eszXlXBdfPZuxFMGhaZPBgPP458Ei_89v8Nr19228WJLpjYULVChVSw84xsniQAlxc8pLF6GBtFh-tBbv9Co0qaAV1m1LQdNaEXpzUoL8r7ISDDSSRtugnvvFvxAfaNTLLSFak6LLRTv6cwAOQ3IW2fKuEPTgDghEwu8K-FYoOdGz4fqfSJMKk4I&__tn__=%2CO%2CP-R
pfbid02YAFwDKXYq5rnBFBjDdZTvmFa9ictx6aH8BQmL8UeVZNQLiZLCyLXaBJ4YRN1P3vhl,DSTA Defence Science and Technology Agency,0,24,0,0,0,0,0,0,24,0,"Whether it's designing realistic simulation systems for training or capturing the beauty of wildlife , Louise demonstrates laser-sharp focus and out-of-the-box thinking.Get ready to channel your focus and think creative to tackle exciting challenges. We look forward to welcoming all BrainHackers to embark on your journeys!#BrainHack #BrainHack2023 #DSTA#STEMsg #StrategyInAction #ARVR #XR",2023-05-15T18:34:00,['blob:https://www.facebook.com/4e4a90d5-cdad-454a-9fc6-c9b8e737674d'],,https://www.facebook.com/SingaporeDSTA/posts/pfbid02YAFwDKXYq5rnBFBjDdZTvmFa9ictx6aH8BQmL8UeVZNQLiZLCyLXaBJ4YRN1P3vhl?__cft__[0]=AZW36JfRmJbHlpULZEzXMYDOPYNVe6cI7AN9YGmCuFcFreN4aqDB7kcKPf1NTB1PaaOBPSJJ7KA1bRGRLjB67C_6Bylyodp112hCJClxeVaaAZmhidMjmfTrN0C7svevEVytPFMRY3e66ato_NYgLiGtrB1XGbOLWlhGQ0BlavTxOmsO9PxM6xPnLDrqR02YJWM&__tn__=%2CO%2CP-R
pfbid0QdRGu78Jcxsr2t7B9fcoJpiBwDowrUcckFt11PyBAtBnQDLcxRxLZaaynV5BSUEql,DSTA Defence Science and Technology Agency,0,71,10,0,0,0,0,0,81,0,Happy Mother's Day to all the super moms out there! #DSTA #DefenceScienceAndTechnologyAgency #MothersDay,2023-05-14T09:00:00,['blob:https://www.facebook.com/3ba451b5-ffa5-4c06-a479-95309a6b71fd'],,https://www.facebook.com/SingaporeDSTA/posts/pfbid0QdRGu78Jcxsr2t7B9fcoJpiBwDowrUcckFt11PyBAtBnQDLcxRxLZaaynV5BSUEql?__cft__[0]=AZXOJhqIF4uQ6RJqJDbNqbOOVgi4-rGcUmeBMNXFacTRK0NmJbICOnzc9krsJWYZ7N67Dpzk3yUFSd44fLpBSKGTXSalxCMtXmyjAoNWFNMJW3LdGTzz1DWR9aTyZngocQ6T7KY3zkpZyPVCc7ib6AfNVXCxwettsnJnDNOpcpO6AEny_hdx80ThOWKjL1Fgk2s&__tn__=%2CO%2CP-R
