id,name,shares,likes,loves,wow,cares,sad,angry,haha,reactions_count,comments,content,posted_on,video,image,post_url
pfbid0g7Zd5r4qXxuTtGi2bGicVdRMws1uqBD9orjH5a3X3cwtspjrTavdMt8V1W389WEdl,DSTA Defence Science and Technology Agency,0,2,0,0,0,0,0,0,2,0,"We couldn’t have done it without our partners from MINDEF, the SAF, industry and more. Thrilled to be on this exciting journey with this awesome community #DSTA #DefenceScienceAndTechnologyAgency #StrategyInAction #TechLife #Collaboration #Technology",2023-05-30T15:32:36.217657,[],https://external.fsin14-2.fna.fbcdn.net/emg1/v/t13/17702512775966416210?url=https%3A%2F%2Fsbr.com.sg%2Fsites%2Fdefault%2Ffiles%2Fstyles%2Fopengraph%2Fpublic%2F2023-05%2Fdefence-science-and-technology-agency-dsta.jpg%3Fh%3D32005159%26itok%3D5_x5Llfd&fb_obo=1&utld=com.sg&stp=c0.5000x0.5000f_dst-jpg_flffffff_p500x261_q75&ccb=13-1&oh=06_AbHRl0w4wWfS2CLJlNSzvp63oLIlfdK-uQRcybuVtHNNmA&oe=6477A4C4&_nc_sid=ca20c4,https://www.facebook.com/SingaporeDSTA/posts/pfbid0g7Zd5r4qXxuTtGi2bGicVdRMws1uqBD9orjH5a3X3cwtspjrTavdMt8V1W389WEdl?__cft__[0]=AZWdAGfzocldve6FzQ84Xam1FAGzlP2ExiAgz8a8LyaLD4eHdgFOZgNCU-ts1DxWqQTXd9jRzi4HtQqhmhqBNvPlqIlNQF1w7JdkhQme6vSoaR7YZqbGoOQfZ9uKMP9aoKcNQPT8tX5PLAkZjtzfSKJgUq2ESFq9wIJ2Vd929XgLkqlQiV3JShkosZUuJxOfbBrKI72MBpXsF6ZvCFIiSye9&__tn__=%2CO%2CP-R
pfbid02e9L1CdiR2aH76Swik8ULWh59Pkb5DBF1v7RigqNuQpjEywWnfk7ZALcGT2nuwLyXl,DSTA Defence Science and Technology Agency,0,19,0,0,0,0,0,0,19,0,"Just like enhancing fighter aircraft capabilities, Yu Xuan plans every swing, anticipating her opponents' moves, to stay on top of her  game. We're thrilled to help unlock  your potential to serve up success at the upcoming BrainHack!#BrainHack #BrainHack2023 #DSTA#STEMsg #StrategylnAction #SpaceTechnology #Space""",2023-05-29T18:32:43.132465,['blob:https://www.facebook.com/2aaf0c9b-c75c-4e54-bb74-84dcaccb2e36'],https://scontent.fsin14-2.fna.fbcdn.net/v/t15.5256-10/350382891_6228402053862836_6126951999468561496_n.jpg?stp=dst-jpg_s960x960&_nc_cat=100&ccb=1-7&_nc_sid=ad6a45&_nc_ohc=mVx3aAQsdcYAX-ojbEz&_nc_ht=scontent.fsin14-2.fna&oh=00_AfD8iDM1Azd6fskZGsadFMXWl1OhlIzrd62OAq1QSJINFg&oe=647AFC72,https://www.facebook.com/SingaporeDSTA/posts/pfbid02e9L1CdiR2aH76Swik8ULWh59Pkb5DBF1v7RigqNuQpjEywWnfk7ZALcGT2nuwLyXl?__cft__[0]=AZUNtF1hwMQBNmgjsi8kn71ZQXJ4RfDqSbfRTJpfEQJhqFOgOnFSZnWCIjICwsmJwOe14qsrfY-LnSxolPyo5m13H1GngIsW9Ft-wpXs2aGLCmv3Ym_7TvOhaL3HGf4_9KArVI8594qMRHp5yVxlgs0t31YcP1hacz76qQMvc-uhJtvNbYn4a4JJVx3RlgolBCo&__tn__=%2CO%2CP-R
pfbid025JNnwVsbUcxZNkoPzBvZ7e77e4hshunBsuCDg2WG8eiGqhtxYuC6EZawiuN6wVEal,DSTA Defence Science and Technology Agency,0,10,0,0,0,0,0,0,10,0,Hey detectives! Combating misinformation can be easier if you know what to look out for. Stay vigilant with this useful tip!#BrainHack #BrainHack2023 #DSTA #STEMsg #StrategylnAction #FakeNewsDetection #Misinformation,2023-05-26T16:32:43.453131,['blob:https://www.facebook.com/8f457343-bc81-4201-9ae5-cd9c3d7d6fd1'],,https://www.facebook.com/SingaporeDSTA/posts/pfbid025JNnwVsbUcxZNkoPzBvZ7e77e4hshunBsuCDg2WG8eiGqhtxYuC6EZawiuN6wVEal?__cft__[0]=AZUTE-HcpCgyYfk8__pm02SaMlnFbmcMn6NfqQTrPbMfbmJ5B9NGlUfanXmoBzBdtlaVWPqzy6VmYJgo6OL02UAEcEcsS_E0XK_4WG_dGuKp-mjwDxllw-BZtUuvw9Q0QKkDU4LUNYX7Tel7YmWbYmTu-rTC5f5l-M6AOBVbdFN2vEqDYvJTiCJ9T3iIpxro5TU&__tn__=%2CO%2CP-R
pfbid0HZSjrHrMXD7XtoWu2WjpqJ6fGWUtf2eMN6KXZb75ZBYYSwjyhpEjJ4VMzr9pyzzml,DSTA Defence Science and Technology Agency,0,70,0,0,0,0,0,0,70,0,"Kudos to our team for clinching the OpenGov Recognition of Excellence Award 2023!Our engineers partnered The Singapore Army, ST Engineering and NCS Group to develop the Next Generation Army Command and Control Information system, which automates tedious processes during battle planning. Tapping cloud tech and secure communications, the system also allows the exchange of information across forces in a timely manner #DSTA #DefenceScienceAndTechnologyAgency #Collaboration #Engineering #Technology #StrategyInAction",2023-05-25T16:32:43.952482,[],https://scontent.fsin14-1.fna.fbcdn.net/v/t39.30808-6/348903346_559419049682539_9101580499917485016_n.jpg?stp=cp6_dst-jpg_p526x296&_nc_cat=103&ccb=1-7&_nc_sid=8bfeb9&_nc_ohc=CRRpA55Xsb8AX-0hBi0&_nc_ht=scontent.fsin14-1.fna&oh=00_AfDA1l5OIAzNuEJX9JCBZ_gpf5XszYEMtd4l6PKvMqRahw&oe=647B53C3,https://www.facebook.com/SingaporeDSTA/posts/pfbid0HZSjrHrMXD7XtoWu2WjpqJ6fGWUtf2eMN6KXZb75ZBYYSwjyhpEjJ4VMzr9pyzzml?__cft__[0]=AZVKYl8L5EoG8PumFwfo-NSuZpIFvFTiE3QYe43k71uCydIg4JcCmo0uTct0Aqf-CaT9Em43zVUEne7mvxQq9m4TgOqHTW4esf1idqCvgoz9I2AkzxobyfuzZ7V46tEROo0bLZo9wh4wsrJfoISU4h2aAXJzePY83tuzeRqgq0yMVje9CblHaKMRvorW6vxkj-s&__tn__=%2CO%2CP-R
pfbid02ypgatiT3R9cNXv4wxXpwUW85bvYvTpBUE1VkESWZUuoSkqURWSvbbF6iRdnmFXVVl,DSTA Defence Science and Technology Agency,0,21,0,0,0,0,0,0,21,0,"Meet Ann, an Al engineer  and contact rugby player She proves that teamwork and strategic thinking are not just for sports, but also crucial for developing Al models.We can't wait to see what game-changing ideas your team will bring to train your robot with AI at the upcoming #BrainHack!#BrainHack2023 #DSTA#STEMsg #StrategylnAction #AI#Artificialintelligence #BACBearsRugby",2023-05-22T17:58:00,['blob:https://www.facebook.com/21e12518-d93f-4a88-8f5f-deb684c394eb'],https://scontent.fsin14-2.fna.fbcdn.net/v/t15.5256-10/347717623_230117049745919_5088728625113212564_n.jpg?stp=dst-jpg_s960x960&_nc_cat=100&ccb=1-7&_nc_sid=ad6a45&_nc_ohc=RADtTFq_Wa8AX-WTrPV&_nc_ht=scontent.fsin14-2.fna&oh=00_AfBQX2ZUFMT_a-5l6GLw_eUxuwxJI5Vx63emNPT-KiQr0w&oe=647B9A0D,https://www.facebook.com/SingaporeDSTA/posts/pfbid02ypgatiT3R9cNXv4wxXpwUW85bvYvTpBUE1VkESWZUuoSkqURWSvbbF6iRdnmFXVVl?__cft__[0]=AZWkO6bNTmLQ2ZnImJIgig5GCHWgJQG6jfLtRVfjMEJWCK4zb4MQF5BnlRhe5hG0oLsVc0WtTuH3Hg26gA096Ge4I63JghT-P24rmouvzX0SrPP_mdGZoGlw9mEzfL-vl4qax-QGun5s-6HDL_1-tsfcpPkWueMg2B6HYlR0HHJwh0A5NX7FS6U-HrcpDMjrsEE&__tn__=%2CO%2CP-R
pfbid02grGCrddTFe9tHnuK9ittBHf5NSW6D8AUNyfZkSiXJ8Qsf7d9nNSY8d63PSKn4zDSl,DSTA Defence Science and Technology Agency,0,9,0,0,0,0,0,0,9,0,Hey there cyber knights! Ready to conquer cyber challenges and keep our cyberspace safe? Here's a hint to help you on your quest!#BrainHack #BrainHack2023 #DSTA#STEMsg #StrategylnAction #Cybersecurity#CTF #CaptureTheFlag,2023-05-18T17:59:00,['blob:https://www.facebook.com/a460cb29-df26-4e1b-850e-16691cbf0043'],https://scontent.fsin14-1.fna.fbcdn.net/v/t15.5256-10/344339394_771018527810948_5572871002863906817_n.jpg?stp=dst-jpg_p960x960&_nc_cat=101&ccb=1-7&_nc_sid=ad6a45&_nc_ohc=75ynQVLJlJcAX-VerBc&_nc_ht=scontent.fsin14-1.fna&oh=00_AfAg80TCKHRfPNjrN42FK9tT2txxc6z58wPw3YsOWOhs8A&oe=647A96F6,https://www.facebook.com/SingaporeDSTA/posts/pfbid02grGCrddTFe9tHnuK9ittBHf5NSW6D8AUNyfZkSiXJ8Qsf7d9nNSY8d63PSKn4zDSl?__cft__[0]=AZX6G0aMpTP96DV5inz-UMD4rYwxYejpRnh8iiFa6hNDuN1raVe7OAd1XNmmVWSCr1o_rCX-t9cgjnMuX5cHI2BA6ATzNamcuT-T-Y6a5U9yDAWk_8TpfOAQx0a2Lz9LSeSTLZAqnY6oQKZsbGzEHZSoq_s4M877KBe3kYwKLx9A15GjJGhRANVwcAYrQFO2eYE&__tn__=%2CO%2CP-R
pfbid034UKfbsFViw21bPVob1CVAWXx9bHSbPJUdr1wNsCz7WpvDXvZGC9JBdSERyb45HEJl,DSTA Defence Science and Technology Agency,0,12,0,0,0,0,0,0,12,0,"Autobots, roll out Jerome’s internship is one that’s straight out of a sci-fi movie! He not only got to tinker with various tech, he also got to work on autonomous robots for Singapore’s defence.You, too, can set out on such an exciting journey! Apply for the DSTA Polytechnic Scholarship: go.gov.sg/dstapolydigitalscholarship go.gov.sg/dstapolyengscholarship#DSTA #DefenceScienceAndTechnologyAgency #STEMsg #Education #Scholarship",2023-05-17T17:59:00,[],https://scontent.fsin14-2.fna.fbcdn.net/v/t39.30808-6/347436775_255578010467053_6604460697442028236_n.jpg?stp=dst-jpg_p600x600&_nc_cat=111&ccb=1-7&_nc_sid=8bfeb9&_nc_ohc=hSeTAFKoqJYAX88b-Xf&_nc_ht=scontent.fsin14-2.fna&oh=00_AfDlD17Dxf1_i6CPFepGBUL5b4X53iqcqz-eJXHOXI7hJw&oe=6479EBE2 https://scontent.fsin14-1.fna.fbcdn.net/v/t39.30808-6/347430830_1761158800967114_3099507345086475990_n.jpg?stp=dst-jpg_p600x600&_nc_cat=110&ccb=1-7&_nc_sid=8bfeb9&_nc_ohc=Aw677xg961gAX_-lxYW&_nc_ht=scontent.fsin14-1.fna&oh=00_AfBWYxMQr0jB7zu83EktRIN6VcS8xidAZARVF_faRUaSAA&oe=647B1A5C https://scontent.fsin14-1.fna.fbcdn.net/v/t39.30808-6/347612021_1609419156224426_1321506901389836144_n.jpg?stp=dst-jpg_p600x600&_nc_cat=109&ccb=1-7&_nc_sid=8bfeb9&_nc_ohc=XnuBTkzmOWIAX_rhwmE&_nc_ht=scontent.fsin14-1.fna&oh=00_AfAb8WPubHU7RdvuRbg_G3Dg54zyQ6xuHTSFhNfrt8dT8A&oe=647A064B https://scontent.fsin14-1.fna.fbcdn.net/v/t39.30808-6/346074265_933426984403171_633570989741629282_n.jpg?stp=dst-jpg_p600x600&_nc_cat=105&ccb=1-7&_nc_sid=8bfeb9&_nc_ohc=D_qkzVHLoBMAX9uSuL9&_nc_ht=scontent.fsin14-1.fna&oh=00_AfB9cWqwnLktkP-x2k4rcxe5NzBlWawC7HpJgQ74mCucaA&oe=647B8069,https://www.facebook.com/SingaporeDSTA/posts/pfbid034UKfbsFViw21bPVob1CVAWXx9bHSbPJUdr1wNsCz7WpvDXvZGC9JBdSERyb45HEJl?__cft__[0]=AZXybPPNT7rihIZJd83t1hLkyQunF3zn4wGIt8c9O-G44mZrdu0nmHy3nkuwybH6eI_vCy5lKDNRFuEdIdM611Z2mFXb3-uowxCCIINx2cu2Wj-Mw2y6wMUJ5e5CM5CIVDQYKn5eUkOAGJd0UZLupnHzeY7u6zeXTw39IdVvRHc_BF6saxsx8I9fTMeabvKuqlA&__tn__=%2CO%2CP-R
pfbid0Y8d1NjkCB11bzgPM2WpqGaUB4qtcghjNLLi9bY3CRjUcxnxbrcjdHVUJEmPoTVpbl,DSTA Defence Science and Technology Agency,0,22,0,0,0,0,0,0,22,0,Twinning Tuesdays: Colleagues-turned-friends at the #DSTA office.#DefenceScienceandTechnologyAgency #WesAnderson,2023-05-16T18:00:00,['blob:https://www.facebook.com/0700c31e-f1f4-4ea1-8761-2159b37e2eef'],,https://www.facebook.com/SingaporeDSTA/posts/pfbid0Y8d1NjkCB11bzgPM2WpqGaUB4qtcghjNLLi9bY3CRjUcxnxbrcjdHVUJEmPoTVpbl?__cft__[0]=AZWwTizOk12EjLd0mq0-1thgc0tbR0ErSkciv9Pw503vSfGvckF5a2HjCiU1lsBqX1pMZSoojaYjKUj33YIEdBczpMDZXlnfhSfS1XPYwMRDuoMxBtS1mN2k-BBf68IwvOUK7paxdsd3m7zk6v8KvWHdbfYFdKVxx-KALfeb4kV4RQh-BWtFZqKC-vE3j5s11Bg&__tn__=%2CO%2CP-R
pfbid02YAFwDKXYq5rnBFBjDdZTvmFa9ictx6aH8BQmL8UeVZNQLiZLCyLXaBJ4YRN1P3vhl,DSTA Defence Science and Technology Agency,0,24,0,0,0,0,0,0,24,0,"Whether it's designing realistic simulation systems for training or capturing the beauty of wildlife , Louise demonstrates laser-sharp focus and out-of-the-box thinking.Get ready to channel your focus and think creative to tackle exciting challenges. We look forward to welcoming all BrainHackers to embark on your journeys!#BrainHack #BrainHack2023 #DSTA#STEMsg #StrategyInAction #ARVR #XR",2023-05-15T18:34:00,['blob:https://www.facebook.com/00cbe3ab-26ea-4715-8815-fbf4cd9463c8'],,https://www.facebook.com/SingaporeDSTA/posts/pfbid02YAFwDKXYq5rnBFBjDdZTvmFa9ictx6aH8BQmL8UeVZNQLiZLCyLXaBJ4YRN1P3vhl?__cft__[0]=AZXw4oCpxZxWXmKoLNpJeNvIVsYyXUKEUC46S93qQEmIS2u5_Ux-IASjMDTlVoBC-wLr1ZjhELbiOqM6WdFfPvTmzHHm6ApNYrjEG5Kqc6wtkB2BeVSFzRZf1bEuLe1JTiPTGry4cAdYeay52cBv_gk7TEji9nM0W_6onzq6dFseqmv7VEt0SxbAv8Ft_Jh397s&__tn__=%2CO%2CP-R
pfbid0QdRGu78Jcxsr2t7B9fcoJpiBwDowrUcckFt11PyBAtBnQDLcxRxLZaaynV5BSUEql,DSTA Defence Science and Technology Agency,0,71,10,0,0,0,0,0,81,0,Happy Mother's Day to all the super moms out there! #DSTA #DefenceScienceAndTechnologyAgency #MothersDay,2023-05-14T09:00:00,['blob:https://www.facebook.com/4d9fd086-001e-4dc1-aebf-bd52bd63344a'],,https://www.facebook.com/SingaporeDSTA/posts/pfbid0QdRGu78Jcxsr2t7B9fcoJpiBwDowrUcckFt11PyBAtBnQDLcxRxLZaaynV5BSUEql?__cft__[0]=AZVa6sm283Yw8oZOFx_6231TYLGSO_f1SJGCC51ZDu9RKGwZ4bxP-6nfM1hX_Aus9iFM5oyAhVZjq3W_5Cp8fOT1xXF6Sw1e-Y7v94CbZgM8EnP2PPdCIIbQMHw7m0GRZooi9X163lISBJn-Lh60op2yOvmJD7TLlKwq_ZhZIRW3v70dBJ6sdgaLxAGbolNl4dM&__tn__=%2CO%2CP-R
