id,name,shares,likes,loves,wow,cares,sad,angry,haha,reactions_count,comments,content,posted_on,video,image,post_url
pfbid0vVhtbULS2KDivGuUC6SuGH73KYnCLCGCy9PTgDiEtGdbXypcvGtsNTmfPWfcQnREl,DSTA Defence Science and Technology Agency,0,13,1,0,0,0,0,0,14,0,"Meet Ann, an Al engineer  and contact rugby player She proves that teamwork and strategic thinking are not just for sports, but also crucial for developing Al models.We can't wait to see what game-changing ideas your team will bring to train your robot with AI at the upcoming #BrainHack!#BrainHack2023 #DSTA#STEMsg #StrategylnAction #AI#Artificialintelligence #BACBearsRugby",2023-05-22T18:15:06.462734,['blob:https://www.facebook.com/57e46b3a-7d3f-434f-b9be-a98e9e2a9e8f'],https://scontent.fsin7-1.fna.fbcdn.net/v/t15.5256-10/347717623_230117049745919_5088728625113212564_n.jpg?stp=dst-jpg_s960x960&_nc_cat=100&ccb=1-7&_nc_sid=ad6a45&_nc_ohc=S1I9mgOABMoAX-SNqQl&_nc_ht=scontent.fsin7-1.fna&oh=00_AfB-DvFjyCP89jErIQlbYVjzlI_fBOjACWbBY-LqY4jBrA&oe=6471B6CD,https://www.facebook.com/SingaporeDSTA/posts/pfbid0vVhtbULS2KDivGuUC6SuGH73KYnCLCGCy9PTgDiEtGdbXypcvGtsNTmfPWfcQnREl?__cft__[0]=AZVuKW-y3VQrLmjxviLzzT_oLzoS2E5OkCePpTFUzeDJ5gWBTTmNsdoFCsvICHJoe2Z0hKhtjnOqZy2k68MGTvE33G2sksgCzAXgle2-ncxbcova5X9WwzGfuj7cPsCrxXHW0zwTCleNCTK98M-PmAZiixKhs7J7-jVRVAvvjPhTXO-xNrpj_BCBzdZ3VjxTIk0&__tn__=%2CO%2CP-R
pfbid0d3Kyzjwe3B2TkSb7mCCkwgN7TansbZJ1q42ZdTigbKrFPY7fSDq6VpYisQSk9vm2l,DSTA Defence Science and Technology Agency,0,8,0,0,0,0,0,0,8,0,Hey there cyber knights! Ready to conquer cyber challenges and keep our cyberspace safe? Here's a hint to help you on your quest!#BrainHack #BrainHack2023 #DSTA#STEMsg #StrategylnAction #Cybersecurity#CTF #CaptureTheFlag,2023-05-19T15:15:11.864530,['blob:https://www.facebook.com/4dabeaf0-2646-428d-be49-70bd40981951'],https://scontent.fsin7-1.fna.fbcdn.net/v/t15.5256-10/344339394_771018527810948_5572871002863906817_n.jpg?stp=dst-jpg_p960x960&_nc_cat=101&ccb=1-7&_nc_sid=ad6a45&_nc_ohc=DD69kVut-rEAX_UOqUu&_nc_ht=scontent.fsin7-1.fna&oh=00_AfDYT3DOvMlFKLpG-uw_7j3g1X5io1Yv_VemldJDJWVFXw&oe=6470B3B6,https://www.facebook.com/SingaporeDSTA/posts/pfbid0d3Kyzjwe3B2TkSb7mCCkwgN7TansbZJ1q42ZdTigbKrFPY7fSDq6VpYisQSk9vm2l?__cft__[0]=AZWPcsMnrO0RiU7QvYTVWtUh6CgzNN8RaoGc6YNpGkTLolcOv2eePVclAeq-sR-4DLpVekUV2G88LNcb5TN7S5_bXHnaGub_f7Zgxi2rI0oVT1dex01zyBytYE-v4DQK6V05toPx0-geN0GwpMsDCwhyKjedU6iPMODV_CfPHMrwLpcHxfr8bXmOgbTLQI8Tezw&__tn__=%2CO%2CP-R
pfbid0zfPSjyZgWD4aSn8YMsV9MpQBu7ofKiZTrAwCEkDfu52u6VTQyrr4BygxP5eYnKPZl,DSTA Defence Science and Technology Agency,0,11,0,0,0,0,0,0,11,0,"Autobots, roll out Jerome’s internship is one that’s straight out of a sci-fi movie! He not only got to tinker with various tech, he also got to work on autonomous robots for Singapore’s defence.You, too, can set out on such an exciting journey! Apply for the DSTA Polytechnic Scholarship: go.gov.sg/dstapolydigitalscholarship go.gov.sg/dstapolyengscholarship#DSTA #DefenceScienceAndTechnologyAgency #STEMsg #Education #Scholarship",2023-05-18T15:15:11.998654,[],https://scontent.fsin7-1.fna.fbcdn.net/v/t39.30808-6/347436775_255578010467053_6604460697442028236_n.jpg?stp=dst-jpg_p600x600&_nc_cat=111&ccb=1-7&_nc_sid=8bfeb9&_nc_ohc=5avGMJBIy6EAX-UrRNt&_nc_ht=scontent.fsin7-1.fna&oh=00_AfDFNIp4XcBU-DzCrGCujVtV062XvJy9ccaI4Z4eCxTFag&oe=647202E2 https://scontent.fsin7-1.fna.fbcdn.net/v/t39.30808-6/347430830_1761158800967114_3099507345086475990_n.jpg?stp=dst-jpg_p600x600&_nc_cat=110&ccb=1-7&_nc_sid=8bfeb9&_nc_ohc=PR3PBpi_y6sAX-jwx6Y&_nc_ht=scontent.fsin7-1.fna&oh=00_AfBw-VPzD3wWUiekDYg_5zy5-RFgz0Qze-OcaWa2Zz_Qtg&oe=6471371C https://scontent.fsin7-1.fna.fbcdn.net/v/t39.30808-6/347612021_1609419156224426_1321506901389836144_n.jpg?stp=dst-jpg_p600x600&_nc_cat=109&ccb=1-7&_nc_sid=8bfeb9&_nc_ohc=zm1APAMFfX8AX9UgKkX&_nc_ht=scontent.fsin7-1.fna&oh=00_AfDPvxthMDk4JHSxVBBEGLGEe0LXiEFhw_GdJ_Ymy6Ofyw&oe=64721D4B https://scontent.fsin7-1.fna.fbcdn.net/v/t39.30808-6/346074265_933426984403171_633570989741629282_n.jpg?stp=dst-jpg_p600x600&_nc_cat=105&ccb=1-7&_nc_sid=8bfeb9&_nc_ohc=QMtvRSgAfF4AX_jv1Lv&_nc_ht=scontent.fsin7-1.fna&oh=00_AfDwfwOFIF-C8tEpPzPVOBV2ML3DXnuUTY0nYqZ3XT_-4g&oe=64719D29,https://www.facebook.com/SingaporeDSTA/posts/pfbid0zfPSjyZgWD4aSn8YMsV9MpQBu7ofKiZTrAwCEkDfu52u6VTQyrr4BygxP5eYnKPZl?__cft__[0]=AZWQo4RJ9u2EvEt34si1EmaVW55dAwsAL6_17PrDDO0WJ7AQJxRy-Un3OPEoBl43wm6_qRgvZt79Ws6NeVGSwJcDdXam91hPocUXkr5p-359kTwmLI_3liaiIkn6s4-3Fq9fumwyc7DSWc8LCW3qhJnCm4krJtztqIaADASI4fvwn4XmLLZsY4i0ngpijI6JVIE&__tn__=%2CO%2CP-R
pfbid02bimgcgcZfGSGBaK9ND5BespTrtrtbXD4eLYVWZSWRCZTxu14gGpsJBWekx3yZSi6l,DSTA Defence Science and Technology Agency,0,22,0,0,0,0,0,0,22,0,Twinning Tuesdays: Colleagues-turned-friends at the #DSTA office.#DefenceScienceandTechnologyAgency #WesAnderson,2023-05-17T15:15:12.093741,['blob:https://www.facebook.com/3315457f-466e-477e-9c1b-8b1192d99a92'],https://scontent.fsin7-1.fna.fbcdn.net/v/t15.5256-10/345086405_281463297644148_8311767705878352431_n.jpg?stp=dst-jpg_s960x960&_nc_cat=107&ccb=1-7&_nc_sid=ad6a45&_nc_ohc=NLobjwb8eoAAX81G5VA&_nc_ht=scontent.fsin7-1.fna&oh=00_AfBsrGqffAAwrkqrvj0X8j8ZB42ZvWzRR_FJJGBThYlOxQ&oe=6471B672,https://www.facebook.com/SingaporeDSTA/posts/pfbid02bimgcgcZfGSGBaK9ND5BespTrtrtbXD4eLYVWZSWRCZTxu14gGpsJBWekx3yZSi6l?__cft__[0]=AZUjuhTA8QnfxmpaDXTlNCNq6iyYi0DR8jDfcxSGRV7oDw9tA2ZvVW1t68xynzB-QTBLxuUwupoNCoNuO-OlDVSwyOEfgmHEqqVYryFfGulv3Y3xLwKh32crO346dt6m4SAIl-Sk78JaPScIwctBfo0l-v-qigmxtahTk4IIKY-AitRggoxy8xs4T5HohtxxjGE&__tn__=%2CO%2CP-R
pfbid0UMKiMRqjcUieK6Pz9FEcdvkiHj9cw6Lt4DxKDyFgVJJ8pQbUZJDJukzK6Nhs9haAl,DSTA Defence Science and Technology Agency,0,23,0,0,0,0,0,0,23,0,"Whether it's designing realistic simulation systems for training or capturing the beauty of wildlife , Louise demonstrates laser-sharp focus and out-of-the-box thinking.Get ready to channel your focus and think creative to tackle exciting challenges. We look forward to welcoming all BrainHackers to embark on your journeys!#BrainHack #BrainHack2023 #DSTA#STEMsg #StrategyInAction #ARVR #XR",2023-05-15T18:34:00,['blob:https://www.facebook.com/999ae332-9851-4234-bf7b-aee8a7c4fe23'],https://scontent.fsin7-1.fna.fbcdn.net/v/t15.5256-10/344296165_6023680657759311_1567483165350235041_n.jpg?stp=dst-jpg_s960x960&_nc_cat=102&ccb=1-7&_nc_sid=ad6a45&_nc_ohc=YohOLvA_Ne8AX-5N0id&_nc_ht=scontent.fsin7-1.fna&oh=00_AfDpDZkphr4Jbv8KvKYZIfBPYRkjK7ouB0i6jodftYYA4w&oe=6470BA49,https://www.facebook.com/SingaporeDSTA/posts/pfbid0UMKiMRqjcUieK6Pz9FEcdvkiHj9cw6Lt4DxKDyFgVJJ8pQbUZJDJukzK6Nhs9haAl?__cft__[0]=AZU9ZY5IAti_AOXMbQhPUMPs9wloBc-i5NPQj4zNvEO2J68NZBQAkR_05Si3fHRzCLcDQSHViayUTeTDccbsDHKinlV2dpi4cuQqtNJ-MjLQIY-Gk3UFQzjh9jCRI9PI8g1BkrwAR8NrlU9dgRZfT8HO56dkEgv0oJTjE5sslugX70nqtOMYQYJLv3QydFLJX6Q&__tn__=%2CO%2CP-R
pfbid02UhXUhhZsvm6oSrmYoNwUwo73f1Y8rQppePUMbWpnqdSJ6hZ73KrbPYoQVMA1FKHul,DSTA Defence Science and Technology Agency,0,71,10,0,0,0,0,0,81,0,Happy Mother's Day to all the super moms out there! #DSTA #DefenceScienceAndTechnologyAgency #MothersDay,2023-05-14T09:00:00,['blob:https://www.facebook.com/9f0a0d4c-27ac-4086-82d4-28e558dfc691'],https://scontent.fsin7-1.fna.fbcdn.net/v/t15.5256-10/346171036_1669725113489207_6168546088716505820_n.jpg?stp=dst-jpg_s960x960&_nc_cat=107&ccb=1-7&_nc_sid=ad6a45&_nc_ohc=zVkfPJD76cIAX_G_lkS&_nc_ht=scontent.fsin7-1.fna&oh=00_AfA3BDRGlEmX7wEgEBlSLnr4zx6SasMFooGWTc71Z01-cQ&oe=6471228A,https://www.facebook.com/SingaporeDSTA/posts/pfbid02UhXUhhZsvm6oSrmYoNwUwo73f1Y8rQppePUMbWpnqdSJ6hZ73KrbPYoQVMA1FKHul?__cft__[0]=AZXtNNTRVtXNxkfT2f2OsVqHg3Z16hbAczudptChb-npNhM3XzdjL9iRKhgrR7x7CB51bNF48IS8EfmVfx1LbW-SFQsO2f4Jj1X05liwaNpdWW2y1QGPHj52rGgRlRVgyP4Cp_7D5NGw9wf3RcdiIfy-xFImbCVNOWIkT-50HnLahJnXA5H34MFkpshsOy58gOk&__tn__=%2CO%2CP-R
pfbid0LDY2duPM4AzegY71QUij29nFUmCfx5pm5JJs6YeD6QpNsVycqYt68nLt97MDcPvXl,DSTA Defence Science and Technology Agency,0,35,0,0,0,0,0,0,35,0,"Congrats to the winners who successfully decoded our challenges! From fake news detection to space tech  and cybersecurity, these are just snapshots of what's to come.More to be unveiled at BrainHack!#BrainHack #BrainHack2023 #DSTA #DefenceScienceAndTechnology#STEMsg #StrategylnAction #TechLife #Education #Opportunities #Career #STEM #DesignDevelopDefend #LeverageTechForGood",2023-05-13T09:00:00,[],https://scontent.fsin7-1.fna.fbcdn.net/v/t39.30808-6/345889437_194846150099594_7358779097782552169_n.jpg?stp=dst-jpg_p526x296&_nc_cat=102&ccb=1-7&_nc_sid=8bfeb9&_nc_ohc=YaY7SJuIcXsAX9ogIXD&_nc_ht=scontent.fsin7-1.fna&oh=00_AfCJ0rpl6k4LOJwtNHygLnfl8UQ2RISrQ1FaAZP0COrjZw&oe=6471CA2D,https://www.facebook.com/SingaporeDSTA/posts/pfbid0LDY2duPM4AzegY71QUij29nFUmCfx5pm5JJs6YeD6QpNsVycqYt68nLt97MDcPvXl?__cft__[0]=AZUA19X2yN1VZGPX3fuVtcOgveEmIDRiYtMiLJVASVgetsWSDl3VX1wfUeByAlo9ET2qY8mVtDH_zW-AOgnHLmlgC4LJHFO3UFPKyipU-ys5ixyd9kXUZ0ut1y9tpXO2Tk_X5E0E1i7XHSJv2or7jWoOLBE2huKsFe3uEvRPQtEkq6iboCp3xzpbDn2pGzNHjwQ&__tn__=%2CO%2CP-R
pfbid02iY6rJsxnh7rwhkEqcUpGY3EqwRSg1M49Tm4MP5GEJWSLaQq6uJbjG7hshZjsNKyl,DSTA Defence Science and Technology Agency,0,74,0,0,0,0,0,0,74,0,Diving into a sea of opportunities with Republic of Singapore Navy and Rolls Royce Solutions Asia Pte. Ltd as we tap #dataanalytics to further amp up operational availability!#DSTA #StrategyInAction #Defence #Technology #Collaboration,2023-05-12T18:00:00,[],https://scontent.fsin7-1.fna.fbcdn.net/v/t39.30808-6/346036332_630849311850868_6205079124262861696_n.jpg?stp=dst-jpg_p180x540&_nc_cat=103&ccb=1-7&_nc_sid=8bfeb9&_nc_ohc=o2fA2iCmUk8AX8EKkYO&_nc_ht=scontent.fsin7-1.fna&oh=00_AfBmodUJJKfdsYI1Mi0xqLDmAzwt2W-iyVk4fNfQagFZgw&oe=647229C5,https://www.facebook.com/SingaporeDSTA/posts/pfbid02iY6rJsxnh7rwhkEqcUpGY3EqwRSg1M49Tm4MP5GEJWSLaQq6uJbjG7hshZjsNKyl?__cft__[0]=AZX7NeW3fKj1l0kgVbHR0rmk90qx4ENlQuBoG0Ezfiw3vQbRfJwY44c6AmMMbXkxyJefVhsC6a4ccvakPjG543km7cfPI-MteDq_ki6k-6rm6ZLteYUo9a5o1MzWpzmjA3TSV6C8IVT31kDumZDCSav8ZuBZGh--ol16FYiLGIF-7JSCIMHYCTqjm3BQ6uEbVs8&__tn__=%2CO%2CP-R
pfbid0NHSzPfizF824BZLNd9NieuxEhpuFxR2vYARVHPciYJsKGCYxZb9GiPnhwcBUAHHPl,DSTA Defence Science and Technology Agency,0,14,1,0,0,0,0,0,15,0,"Hello Al enthusiasts! Here's a tip to remember as you kickstart your Al-dventure!For those keen to explore the field of Al, it's your last chance to register!https://www.dsta.gov.sg/brainhack#BrainHack #BrainHack2023 #DSTA#STEMsg #StrategylnAction #Robotics#ArtificialIntelligence #AI",2023-05-11T18:01:00,['blob:https://www.facebook.com/8a9e8e08-36d0-47f1-9083-34317cde2e08'],https://scontent.fsin7-1.fna.fbcdn.net/v/t15.5256-10/346103274_611933440647682_8458463129844167393_n.jpg?stp=dst-jpg_p960x960&_nc_cat=101&ccb=1-7&_nc_sid=ad6a45&_nc_ohc=SQ2bzUAFV_IAX_SONcS&_nc_ht=scontent.fsin7-1.fna&oh=00_AfDFL7bAXM7tB7JxV2wAmRgyBr5-yw-O8z1zlEzrhMEnkg&oe=64708C0B,https://www.facebook.com/SingaporeDSTA/posts/pfbid0NHSzPfizF824BZLNd9NieuxEhpuFxR2vYARVHPciYJsKGCYxZb9GiPnhwcBUAHHPl?__cft__[0]=AZV9Cljr8RCxlR6WSLuStsjQy7BSlt6NMMxUGG32J_IjXbT7eK4o6VgVezARRFOjbsfqVL_tnAoUfnUYjA6vW3aho8yLGSmZSzz1vGDLlGRZd4CWq0Wj4TL6nkGXi5FlVVS3xh5w8RccRBAvF9xIx1GwZ04747B_NTJXD1pm_6moydwqosPB0po59lZFQLfk1Wk&__tn__=%2CO%2CP-R
pfbid0j1CNmppz2UY3qNnpsWdVyTM2bzcKtPoYmVUpSwhbEci2z3SfCumLNKJLMijc836zl,DSTA Defence Science and Technology Agency,0,62,0,0,0,0,0,0,62,0,Our job gives us meaning and benefits! #DSTA #DefenceScienceAndTechnologyAgency #StrategyInAction #TechLife,2023-05-10T21:04:00,['blob:https://www.facebook.com/df805845-5712-4ccc-9f2d-e80bae216425'],https://static.xx.fbcdn.net/rsrc.php/v3/yw/r/8iuTX4LlGZO.png,https://www.facebook.com/SingaporeDSTA/posts/pfbid0j1CNmppz2UY3qNnpsWdVyTM2bzcKtPoYmVUpSwhbEci2z3SfCumLNKJLMijc836zl?__cft__[0]=AZUB3s5a8n7g2pAmgCDZ-hST1LnmXuAd9EtzMdVX5auBT6ZM5KeP3-LXgEKOfS8AT3KOfYOtIYNRoWSIGFQqObnYjEVcpxV3NFiOEMYse706r1EM6XPBaydBuOn0tyYpUY6YMLsZjzYfmiq15SdMr0MuKc8Kcs8P8WMdb6tTuOpAk6A6BT0m6vznsDpjBJJj_OHRrYg8XvsXjCO8YV0F7BZd&__tn__=%2CO%2CP-R
