id,name,shares,likes,loves,wow,cares,sad,angry,haha,reactions_count,comments,content,posted_on,video,image,post_url
pfbid0CcYqDtAQhEKjs6xpXqGGv2PBGNnv7sj2qUt3b7o83L9iX1MwcxrNEQN8rqdSjKrql,GovTech (Government Technology Agency of Singapore),0,3,0,0,0,0,0,0,3,0,"AI, Sensors, Blockchain…learn about the latest technologies through interactive and engaging games at the Smart Nation Playscape exhibition at Science Centre Singapore, which was launched yesterday!More details at: go.gov.sg/playscape#SmartNation #Playscape #TechForPublicGood #GovTechSG",2023-05-30T12:34:48.237869,[],https://scontent.fsin14-2.fna.fbcdn.net/v/t39.30808-6/349858378_771029344486684_3746561211170527012_n.jpg?stp=dst-jpg_p526x395&_nc_cat=106&ccb=1-7&_nc_sid=730e14&_nc_ohc=Hu3F7thQaMkAX-86LLZ&_nc_ht=scontent.fsin14-2.fna&oh=00_AfD5zpGStsJLZPt6-aHPwmOQxWI9EAJNsCMa18PKNtczuw&oe=647A8E12 https://scontent.fsin14-2.fna.fbcdn.net/v/t39.30808-6/350300280_144745678598543_4435806609999779222_n.jpg?stp=dst-jpg_p526x395&_nc_cat=106&ccb=1-7&_nc_sid=730e14&_nc_ohc=2V8hfz2G1wEAX_G3jAG&_nc_ht=scontent.fsin14-2.fna&oh=00_AfD3a39Vt-JUsAke-uSHRepWuNkqUJDl-XMJOq0vrgsJWg&oe=647B68AB https://scontent.fsin14-2.fna.fbcdn.net/v/t39.30808-6/349734228_641034738044352_9066255652720436499_n.jpg?stp=dst-jpg_p526x395&_nc_cat=100&ccb=1-7&_nc_sid=730e14&_nc_ohc=CYlXi0v-WVgAX8llwhI&_nc_ht=scontent.fsin14-2.fna&oh=00_AfBVGMSea7R6czI5_oFVMufqkKHV-KurdJOVLkzE95OEnQ&oe=647B2953 https://scontent.fsin14-2.fna.fbcdn.net/v/t39.30808-6/350495997_3492177777737042_3218309246036503264_n.jpg?stp=dst-jpg_p526x395&_nc_cat=106&ccb=1-7&_nc_sid=730e14&_nc_ohc=Fdf4LAqH5TwAX9bdDKd&_nc_ht=scontent.fsin14-2.fna&oh=00_AfCEdEqmmszNvuQavFehn9QErKwEKcCze2i_fMy-Mm9i7A&oe=647A95BD,https://www.facebook.com/GovTechSG/posts/pfbid0CcYqDtAQhEKjs6xpXqGGv2PBGNnv7sj2qUt3b7o83L9iX1MwcxrNEQN8rqdSjKrql?__cft__[0]=AZUImA1ebAwJkZAWv45vH7P-OEm8JT_qQxBmoBmJRn1Fp9UVnWpGhA9n_LuKFYde29Mv01s5FvIYKpCLzWUwqw27JPshiA1nwa7956fL8FkAUqagGcpXWkKy3BhzkewmRhLwRMFjXnM_FMJuKUT1zxl4sufZ8HZV09gdvOovSqKVjovUYAwV5ArvOYAV-y7vTdi1MI51_yzWKR4TbgVepznQ&__tn__=%2CO%2CP-R
pfbid02XzkrugsA4PYxZ2YynGZNNaLskeGy9aQNfvYGBQc72KiXRgEafq2qkCfyjDjoPRGLl,GovTech (Government Technology Agency of Singapore),0,5,1,0,0,0,0,0,6,0,  How did these become tech terms we commonly use today? Find out here: https://go.gov.sg/fb-technews-0056#TechTerms #TechNews #GovTechSG,2023-05-29T16:34:55.122017,['blob:https://www.facebook.com/a1e0917d-2754-41b0-8d2d-bcb0e3172f0b'],https://scontent.fsin14-2.fna.fbcdn.net/v/t15.5256-10/350220445_208199335414674_4889356855684636827_n.jpg?stp=dst-jpg_p960x960&_nc_cat=104&ccb=1-7&_nc_sid=ad6a45&_nc_ohc=z5vBOl_1fdkAX_EDgvX&_nc_ht=scontent.fsin14-2.fna&oh=00_AfC-4miINPhtQHE56SBZi1fmXRLPFgG9_1M3lG5AVvZFnQ&oe=647A4656,https://www.facebook.com/GovTechSG/posts/pfbid02XzkrugsA4PYxZ2YynGZNNaLskeGy9aQNfvYGBQc72KiXRgEafq2qkCfyjDjoPRGLl?__cft__[0]=AZUcgdxW7tz_yfQEUbrtkBidWP7EoxrxHtMk9XshWg2ATcxebWCrbLp76w0FBsnoAZvc9LB3leziR6APO9zYuepwgxRliEpT2p8FwiIf7bTmj57qo4ZDzTIEjEI1VDbi5KBLyU-r29-SHqZ4DrTZX0HRvHMTQ2ZOmsPRtVwpcrlocZtwMpgddFnAoRIkA70VFuc&__tn__=%2CO%2CP-R
pfbid0GyhUZfdzewgaj6jLhA5TPzGFQaXC5Z6VnPa7UCSsw2AWFEhoVCgeRWBsCrCBH4tyl,GovTech (Government Technology Agency of Singapore),0,10,1,0,1,0,0,0,12,0,"Let us bring you through GovTech’s A11y Week that happened last week!  A11y Week, organised by our Accessibility Enabling Team (A11y Team) in our Government Digital Services Division, is an annual learning festival for all public officers to explore what it means to design accessible and inclusive digital services for everyone in Singapore.Public officers from over 80 agencies attended a series of educational physical workshops and virtual talks that put the spotlight on different forms of non-standard communication. In the workshops, participants got to experience the impact of inaccessible digital services first-hand, learned how to scan their agency websites for accessibility issues, and explored how we can all take actionable steps to support Persons with Disabilities through our work and in our daily lives. Follow us as we journey to build more inclusive and accessible #TechForPublicGood #Accessibility #Inclusivity #A11yWeekSG2023 #SmartNation #UX #Engineering #GovTechSG",2023-05-27T16:34:55.427807,['blob:https://www.facebook.com/bca98538-6e49-4d47-9b2f-f264645156fe'],,https://www.facebook.com/GovTechSG/posts/pfbid0GyhUZfdzewgaj6jLhA5TPzGFQaXC5Z6VnPa7UCSsw2AWFEhoVCgeRWBsCrCBH4tyl?__cft__[0]=AZUtKg1S164U8AvirjSiQ1UjcWWHJmjRjqS6N96i5G0EKpPLfSbmqp6GKYobp_SHgjT5CcDBgTnUaZQG5gEmaXVxdAtctzs4twDhAB2bL5B1ZxHDcRE5U_VEzWwjhtu0p2YhgpesbffqPfn6Mh1NdZAlwKCj7YOS5-QLzDEM-441s2gmaluckXKvORmWsFrMSVQ&__tn__=%2CO%2CP-R
pfbid024dpoNip3vXA6RpLBaoLqBhQcybGGB2HALY4MXWkasxu8MGmrhRdZD14H6ZPuy29Ul,GovTech (Government Technology Agency of Singapore),0,15,2,0,1,0,0,0,18,0,"Java is a platform-independent, object-oriented programming language known for its ability to perform a wide range of tasks. It can be used for tasks and projects that require both high performance and quick turnaround. Java is used in areas such as;building and running mobile applicationsbuilding and scaling cloud applicationsdeveloping chatbots and other marketing toolspowering enterprise-level web applicationssupporting artificial intelligence (AI) and internet of things (IoT) devicesGive this post a thumbs up if you learnt something new today!#KnowYourTech #Java #TechTerms #GovTechSG",2023-05-26T16:34:55.647374,[],https://scontent.fsin14-1.fna.fbcdn.net/v/t39.30808-6/349180225_202194956030937_3524162808945537921_n.jpg?stp=dst-jpg_p526x296&_nc_cat=105&ccb=1-7&_nc_sid=730e14&_nc_ohc=dzfBhncoTtMAX_A1qbv&_nc_ht=scontent.fsin14-1.fna&oh=00_AfACJ_oqo0zTpuSQLElkjHEvOOo9NpKhd8Se1YwILWdtTw&oe=6479E036 https://static.xx.fbcdn.net/rsrc.php/v3/yw/r/8iuTX4LlGZO.png,https://www.facebook.com/GovTechSG/posts/pfbid024dpoNip3vXA6RpLBaoLqBhQcybGGB2HALY4MXWkasxu8MGmrhRdZD14H6ZPuy29Ul?__cft__[0]=AZUq0mFjjzwjPMzp0gBICCPvD93tan42DwC7k1-SF6kzhWP21q4tbAn8T9v4D780lnZ6AuogRAHANaTS0PCR_dgtvUljI81gyOMfynUmricvltybFm1Z3-917BAEyWiPypUrlbnmKH0DDUZC_arJ4Y-taZGHEbvbSZnErru0ZfSPL8vBvWF8A9UmwNE3QOmxp8E&__tn__=%2CO%2CP-R
pfbid02ncmpPQP8rKgznPSkiHRyn3fm7CDtYWe2ssTaMdgL4XEB5kvqya6iuSGC5iARBwm5l,GovTech (Government Technology Agency of Singapore),0,6,1,0,0,0,0,0,7,0,"Providing equal access to technology is something the Singapore Government is committed to.At GovTech, our Accessibility Enabling Team (A11y Team) organises an annual A11y Week to raise awareness of inclusivity and accessibility in digital products. Public officers from across the Service attended talks and workshops over the 3-day learning festival.Our speakers this year - spanning people, public, and private sectors - delved into approaching inclusive communication at the organisational, community, and personal levels. They also dived deeper into what we can do to further our inclusion efforts as a digital government,  Swipe for key takeaways from the sharing by Sarah from Serving People with Disabilities SPD, Winston from Temasek Polytechnic, Rory from Microsoft and Shanta from Netflix - Singapore!#Accessibility #Inclusivity #A11yWeekSG2023 #UX #Engineering #SmartNation #DigitalSociety #DigitalGovernment #TechForPublicGood  #GovTechSG",2023-05-26T16:34:56.166160,[],https://scontent.fsin14-2.fna.fbcdn.net/v/t39.30808-6/349079063_604186668330890_6133189102741751453_n.jpg?stp=dst-jpg_p600x600&_nc_cat=108&ccb=1-7&_nc_sid=730e14&_nc_ohc=gQo63JhRQ18AX9k1xCN&_nc_ht=scontent.fsin14-2.fna&oh=00_AfApH9V6s4Xo_wORy_J4vPVFh2hrLV95FCkUAs8DggTrYg&oe=6479E70D https://scontent.fsin14-1.fna.fbcdn.net/v/t39.30808-6/349084945_462349766110009_5179379087994009414_n.jpg?stp=dst-jpg_p600x600&_nc_cat=109&ccb=1-7&_nc_sid=730e14&_nc_ohc=1HzwZkG0OdAAX8aqh67&_nc_ht=scontent.fsin14-1.fna&oh=00_AfCURzsmi5NFFeXQ8mnS_NYpOjjKVQ3MQ1wnGfcmJSUJVw&oe=647A85DF https://scontent.fsin14-1.fna.fbcdn.net/v/t39.30808-6/348985631_100639993053022_6948771760399360211_n.jpg?stp=dst-jpg_p600x600&_nc_cat=103&ccb=1-7&_nc_sid=730e14&_nc_ohc=Kz9Dxs1_m5QAX_4kwVk&_nc_ht=scontent.fsin14-1.fna&oh=00_AfC5tUuZuYGt6eQ0r-HtvFqaHq6ajXQ8RHLQN2zSuzLh5g&oe=647A16D9 https://scontent.fsin14-2.fna.fbcdn.net/v/t39.30808-6/349324700_975157363512548_4880004989018846917_n.jpg?stp=dst-jpg_p600x600&_nc_cat=104&ccb=1-7&_nc_sid=730e14&_nc_ohc=i6uRlMlPgbwAX-f18sy&_nc_oc=AQkCRFxlZcVUCbNsDtiRdHFYToxQdz9tRZ0Ax5HLZLyp5LpzOBVbySSxGogdn5SP3yU&_nc_ht=scontent.fsin14-2.fna&oh=00_AfBhHmOqjjwRaDsIgdwFXGr7vs8HA5CjS3Ked_1kBBUMTw&oe=647B625C https://scontent.fsin14-1.fna.fbcdn.net/v/t39.30808-6/349327721_159060703636903_365983906580491775_n.jpg?stp=dst-jpg_p600x600&_nc_cat=102&ccb=1-7&_nc_sid=730e14&_nc_ohc=Efd1SGG42NgAX-jKT9m&_nc_ht=scontent.fsin14-1.fna&oh=00_AfBrrT-3XlxSW8rxjV30yTrQdtHZpapgfBUXqrUWZ_io5w&oe=647B36E8,https://www.facebook.com/GovTechSG/posts/pfbid02ncmpPQP8rKgznPSkiHRyn3fm7CDtYWe2ssTaMdgL4XEB5kvqya6iuSGC5iARBwm5l?__cft__[0]=AZWUMdrXqDHXxIs3IzdGYVdEvP0xtU2B0M_3qau6roSErpV6eC2P-qOjy17IEtdK770u0Q5RraMhmx6EFMRrFBqGciKWSJOkCuJGEOmHKjwVSx8cN-AkDOvXi0qRSAGek34E97mSoQkVzleOuWjsDUKTBNo5gSSvpn9a1rgRIprHAWxgeDbzpdlyBNleTUD-fXI&__tn__=%2CO%2CP-R
pfbid033Gs9aCsw7kovxqbDFGEfmhmqQWXMh3nT9R6R4j59Xwd7NEVLWrka5uSfJkWvTdVfl,GovTech (Government Technology Agency of Singapore),0,2,1,0,0,0,0,0,3,0,"It's a wrap for the Smart Nation & Digital Government Industry Briefing 2023!#ICYMI, here's a recap of the key highlights, from how the government is continuing to push ahead with the cloud strategy and finding more ways to work closely with the ICT industry, to the introduction of sustainability criteria in the evaluation of ICT contracts.Swipe to catch up! If you missed the event, watch the recording here: go.gov.sg/ib2023-recording#SmartNationIB #ICT #SustainabiltyTech #GovTechSG",2023-05-25T16:34:56.618405,[],https://scontent.fsin14-1.fna.fbcdn.net/v/t39.30808-6/348954159_140466182359748_7123573584664223481_n.jpg?stp=dst-jpg_p600x600&_nc_cat=101&ccb=1-7&_nc_sid=730e14&_nc_ohc=olZ2G4YWMAoAX-Ru57N&_nc_ht=scontent.fsin14-1.fna&oh=00_AfDQ2tyKdkpAtjDxvCEbZsB5xDAT-qxCJ3FGR394LazVAA&oe=647B37D1 https://scontent.fsin14-1.fna.fbcdn.net/v/t39.30808-6/348712684_977105503318529_4562011943965084633_n.jpg?stp=dst-jpg_p600x600&_nc_cat=101&ccb=1-7&_nc_sid=730e14&_nc_ohc=JVVduhCsBgMAX9DPTDM&_nc_ht=scontent.fsin14-1.fna&oh=00_AfDyg97RqX4BJzJHuWKABGQtXgKCvuH1-ATicKsgd4Q2tQ&oe=647AB143 https://scontent.fsin14-1.fna.fbcdn.net/v/t39.30808-6/348812141_965567611302467_8506721772316389053_n.jpg?stp=dst-jpg_p600x600&_nc_cat=105&ccb=1-7&_nc_sid=730e14&_nc_ohc=_N1-SKTcvRgAX8VrNah&_nc_ht=scontent.fsin14-1.fna&oh=00_AfD7LfTNbt8jqjlM0FlpGIA2LYPp_hAi32YWHWiKDuV9NA&oe=647A1AD3 https://scontent.fsin14-1.fna.fbcdn.net/v/t39.30808-6/349000414_587661949844404_1316451877776406415_n.jpg?stp=dst-jpg_p600x600&_nc_cat=109&ccb=1-7&_nc_sid=730e14&_nc_ohc=CBV2w93QptIAX9xtHBN&_nc_ht=scontent.fsin14-1.fna&oh=00_AfAbum_5qqoQzpEg13gEmFKMj_zVj9Gl2L4YvT2TwYJnkw&oe=647A263B https://scontent.fsin14-2.fna.fbcdn.net/v/t39.30808-6/348618362_1996383514040041_6861385143569266355_n.jpg?stp=dst-jpg_p600x600&_nc_cat=108&ccb=1-7&_nc_sid=730e14&_nc_ohc=FqOIITo_8uIAX9cksBe&_nc_ht=scontent.fsin14-2.fna&oh=00_AfA8ycXSjpQ-NggP9u4_G0kJ8DYxozCSIIMvRifyeXh6OQ&oe=647B8F68,https://www.facebook.com/GovTechSG/posts/pfbid033Gs9aCsw7kovxqbDFGEfmhmqQWXMh3nT9R6R4j59Xwd7NEVLWrka5uSfJkWvTdVfl?__cft__[0]=AZUfJsg2LsPQMkyjHeozunMWKBl4oTDVf-9BC5a17Egy_wz1zUnPppGf7ZyUbqauM97Pl6E9h-zIRjcvfZIQ63uK9bjhW1J_OOh9p1M0ybAkZYG175G0q71xKdZKQUq0VgSX8PTex-0Sbv-sEfyUX6Lmoh-RwjGfJz_-gAjcl02w5sIbwqTc5ZROq33WtzufOYE&__tn__=%2CO%2CP-R
pfbid02eMzkAudAsqBWt7WHhpmdTUu7TfVrYgP5hjCApY73jMFhLJEgw7fnLtAo28BWNgxnl,GovTech (Government Technology Agency of Singapore),0,3,1,0,0,0,0,0,4,0,"Woohoo! Our GoBusiness research team concluded the Coffee with AgriTech Startups last week to hear about their journey firsthand and get closer to the challenges on the ground. Big thanks to Action Community for Entrepreneurship (Action Community for Entrepreneurship - ACE) for working with us to make this happen! We touched on topics such as the unique challenges businesses in this emerging industry face, and how the Government can help these businesses in their journey. Plenty of food for thought and great discussions -- looking forward to have more of such collaborations!#GoBusiness #GoSimplerGoFurther #SGBusinesses #TechForPublicGood #GovTechSG",2023-05-24T16:34:57.090296,[],https://scontent.fsin14-1.fna.fbcdn.net/v/t39.30808-6/348847233_1098198297822491_2833069002558507395_n.jpg?stp=dst-jpg_p320x320&_nc_cat=109&ccb=1-7&_nc_sid=730e14&_nc_ohc=62MuwVtF42oAX92ssEF&_nc_ht=scontent.fsin14-1.fna&oh=00_AfAPIArk1NN_wu8QxGnvtRErSRyG-gDeGcgVnl7JxaO1Qw&oe=647B3B17 https://scontent.fsin14-1.fna.fbcdn.net/v/t39.30808-6/349005083_555119620034248_6050957075771698020_n.jpg?stp=dst-jpg_s600x600&_nc_cat=101&ccb=1-7&_nc_sid=730e14&_nc_ohc=6D07gTYQVMcAX-xXaJy&_nc_ht=scontent.fsin14-1.fna&oh=00_AfCzzxtPxUg9tlSfBqY4IA_2FSyOtH1ovnVnb4my04GZyg&oe=647A99C9 https://scontent.fsin14-1.fna.fbcdn.net/v/t39.30808-6/348816928_262124669721253_6086945676464472633_n.jpg?stp=dst-jpg_p235x350&_nc_cat=102&ccb=1-7&_nc_sid=730e14&_nc_ohc=SbFohd_C5yAAX9cg4Jc&_nc_ht=scontent.fsin14-1.fna&oh=00_AfDWUKnCxcvm_RVqD-kP4SJjCYp9ygHIupwP47e_UGPmgw&oe=647B5A13 https://scontent.fsin14-1.fna.fbcdn.net/v/t39.30808-6/348675616_1082392596052686_6394464555135126105_n.jpg?stp=dst-jpg_p403x403&_nc_cat=109&ccb=1-7&_nc_sid=730e14&_nc_ohc=fx-brDhcBl4AX-IF4n5&_nc_ht=scontent.fsin14-1.fna&oh=00_AfDq_B2t5ZhgUYtiRChxMculOAw6okvRjQcgYL27pAJwpA&oe=647B4B29 https://scontent.fsin14-1.fna.fbcdn.net/v/t39.30808-6/349052137_796287125225333_899995139812872797_n.jpg?stp=dst-jpg_s600x600&_nc_cat=105&ccb=1-7&_nc_sid=730e14&_nc_ohc=wHLwtDTjsL4AX-0RBOM&_nc_ht=scontent.fsin14-1.fna&oh=00_AfCvPXWhYvYBUA9VX0LoYwmBFyacqMvfaJQbRTlkRZoyCQ&oe=647A2AF2,https://www.facebook.com/GovTechSG/posts/pfbid02eMzkAudAsqBWt7WHhpmdTUu7TfVrYgP5hjCApY73jMFhLJEgw7fnLtAo28BWNgxnl?__cft__[0]=AZVeO_31nkR6xT1asGjm0Cts_fiNPQ0y2Svi06xKm_2NO-kQHjbFky5brRPG2mhp_nnLZpYeEpKHAU5uXwyRkyyAeG-P9YpGvBfuoKSZ0bQABcD0BaOGzBo0LJo8qMuaGHOWxLQJonXKFnKNgYv0lh-qK_DRCzY1NnSgaiwC2XBwE561gcAnhtB7vI29VJp2N4KyKaycDUuZck5YaCeY2Kk5&__tn__=%2CO%2CP-R
pfbid02yDWxCDnWe9KTcoVPmQmxvWwsQRWWxtFQbWhTU7exQdGpXLT4gYPh88EY7Yct5Dp6l,GovTech (Government Technology Agency of Singapore),0,8,1,0,0,0,0,0,9,0,"Have you ever experienced the anxiety of having to wait weeks for the results of your ultrasound scans? With the introduction of 5G-enabled devices such as the augmented reality (AR) visor, the process could soon be reduced to a single visit!The scan, which will be trialled at the National University Health System (NUHS), works by:swiping a wireless ultrasound probe across a patient’s bodystreaming captured images instantly to computers that display the results on the doctor’s AR visorWith this new tech, resources can be freed up for more urgent scans and patients no longer have to spend weeks worrying about the results of their scans.   Learn about the AR visor and the benefits that it can bring in the article below!#TechNews #MedTech #AR #AugmentedReality #5G #HealthCare #SmartNation #GovTechSG",2023-05-22T18:22:00,[],https://external.fsin14-2.fna.fbcdn.net/emg1/v/t13/8297368187918461058?url=https%3A%2F%2Fstatic1.straitstimes.com.sg%2Fs3fs-public%2Fstyles%2Flarge30x20%2Fpublic%2Farticles%2F2023%2F05%2F11%2FPicture205_4.jpg%3FVersionId%3D0jP1zWbRhbOr89KqR1WcC5.UFs05KRQP&fb_obo=1&utld=com.sg&stp=c0.5000x0.5000f_dst-jpg_flffffff_p500x261_q75&ccb=13-1&oh=06_AbHPDNF6Ave-VOztjaFSARt-0pFKUCaWXhim6-cexoLhrQ&oe=64774DFE&_nc_sid=dbad39,https://www.facebook.com/GovTechSG/posts/pfbid02yDWxCDnWe9KTcoVPmQmxvWwsQRWWxtFQbWhTU7exQdGpXLT4gYPh88EY7Yct5Dp6l?__cft__[0]=AZU_wgLtbhc6nBLOm1eyeekM9jC6VgYlAPTqtFCiOw-rlKW2zV6ZextHvkIEVbZggKSV2uG2g8GV_sYqKbb_dw06aTv7Mnr9GhuTLxYpqf_gu_GpNuu-ThUbqjcV_1WdIutUOLAjoRxnCLIrVs31ShtlvvZBAwHN8f3bzniN5vs8S3XX4KzmGzp3FOo1MpOGq3w&__tn__=%2CO%2CP-R
pfbid0pa2TG2agqdQoetPmT2VK81V7dotygb4BBAvjvvkgodWWKmdsyKv7Ub15DdaYGdr2l,GovTech (Government Technology Agency of Singapore),0,39,0,0,0,0,0,0,39,0,"Looking for affordable meals in your area? Use the all-new BudgetMealGoWhere website, brought to you by GovTech (Government Technology Agency of Singapore) and Housing & Development Board!As a start, about 40 coffee shops are currently listed on BudgetMealGoWhere, and more will be progressively added to the list!  Search results will first show coffee shops that are located within 2km of the postal code entered. Visit go.gov.sg/budgetmeal to try out today.#TechForPublicGood #BudgetMealGoWhere #GoWhere #SGFood #Singapore #GovTechSG",2023-05-19T17:38:00,[],https://scontent.fsin14-2.fna.fbcdn.net/v/t39.30808-6/347632085_561958636053509_5033300812305360231_n.jpg?stp=dst-jpg_p600x600&_nc_cat=111&ccb=1-7&_nc_sid=730e14&_nc_ohc=7EUk4n-avlkAX_BhFpa&_nc_ht=scontent.fsin14-2.fna&oh=00_AfD5hdDVr7rXRbuIdf3Ekgs4U3EZRgou5bd_vybFnb4gGA&oe=647A80DE https://scontent.fsin14-1.fna.fbcdn.net/v/t39.30808-6/347802284_978786123309769_4823324554784463637_n.jpg?stp=dst-jpg_p600x600&_nc_cat=102&ccb=1-7&_nc_sid=730e14&_nc_ohc=9cX50BjoAWQAX-IJCrb&_nc_ht=scontent.fsin14-1.fna&oh=00_AfDUScvnTVMFFYclurLM6k1JuRJ0y-_N1lW_AbMY-zn73A&oe=647B52AE https://scontent.fsin14-1.fna.fbcdn.net/v/t39.30808-6/348427807_1688615414917354_2962714546181816911_n.jpg?stp=dst-jpg_p600x600&_nc_cat=105&ccb=1-7&_nc_sid=730e14&_nc_ohc=El-PZ7F_zbQAX-bdb7M&_nc_ht=scontent.fsin14-1.fna&oh=00_AfCpL-51HCd-HqgYFiFSokKaXVJGdObUa7buP61TiU-stg&oe=647A6513 https://scontent.fsin14-2.fna.fbcdn.net/v/t39.30808-6/347790626_1314871379410019_8316401064359779479_n.jpg?stp=dst-jpg_p600x600&_nc_cat=108&ccb=1-7&_nc_sid=730e14&_nc_ohc=u_NMlowQG0cAX_a6VN3&_nc_ht=scontent.fsin14-2.fna&oh=00_AfCQxsUPkV9itL-Y8CwFKZEGaYFA6NqIDQ3RuJfnp6Tpvw&oe=647AF4E4,https://www.facebook.com/GovTechSG/posts/pfbid0pa2TG2agqdQoetPmT2VK81V7dotygb4BBAvjvvkgodWWKmdsyKv7Ub15DdaYGdr2l?__cft__[0]=AZXEvZ6pc1UdGNfrVfb8bh8VLMkgCv8nNGXTntBtHOX5hpIYukDLn2egIFIlf9nhN2r_iteOkDFbC8xOV8YW03rjFBk2p_rCRSXYujVs6a_AdM05t8sMrN7-abQ3d-q5_T9O2DB0UjrJc_wKbWTgAmXYq-enCduAIBG4d4EtFZ-deLqO2ALmUA0GdjmBasonvsU&__tn__=%2CO%2CP-R
pfbid02Fq5ZapMJvMBV1jLBitDau6PzqSTu4CFoHKtfYCtjC9hMt2382oDGt2tCfzgLfHTdl,GovTech (Government Technology Agency of Singapore),0,13,0,0,0,0,0,0,13,0,"Are you guilty of using the same password for all your accounts because it’s much easier that way?  Try using passphrases instead! A passphrase is a string of words that are easily remembered but difficult for a computer to crack, making them more secure.Ways you can come up with a strong passphrase: Use more than 15 characters Combine multiple words Pick words that are memorable to you but don’t make sense to anyone elseCheck out examples of passphrases and learn more tips from the article: go.gov.sg/fb-technews-0060 #TechNews #Passwords #Passphrases #Security #GovTechSG",2023-05-19T14:00:00,[],https://external.fsin14-2.fna.fbcdn.net/emg1/v/t13/14748952453618475783?url=https%3A%2F%2Fwww.tech.gov.sg%2Fimages%2Ftechnews%2Fpasswords-passphase.jpg&fb_obo=1&utld=gov.sg&stp=c0.5000x0.5000f_dst-jpg_flffffff_p500x261_q75&ccb=13-1&oh=06_AbHHX7QQnEq1y0kBoWFPl8sWnO5heauLHGqn0vRNHrfCBg&oe=64771484&_nc_sid=dbad39,https://www.facebook.com/GovTechSG/posts/pfbid02Fq5ZapMJvMBV1jLBitDau6PzqSTu4CFoHKtfYCtjC9hMt2382oDGt2tCfzgLfHTdl?__cft__[0]=AZV6XX26-AY6hPgm5JLG369qYbkNpqwVOAuWFYEM76yNxxMlf6qCMOKw9Jbk4rUTkJuKFXB-qvAdM-1ZbZMLmR4Nt_PNQGGRRWQAUvsJcJEod-TcDQAdoO7yvSeQHYhNiMXSlcRb_hLyqUKDfNddoH0fcmGBmxXUvKYTCXd-Za1WQJjxj0xQ1R1zPXgqTZ-rozQ&__tn__=%2CO%2CP-R
